,id,type,gantryType,lat,lng,pilenumber,status,startTime,endTime,etcGantryHex,POWERSUPPLYNODENAME,POWERSUPPLYNODEDISTANCE,name,boundaryType,tollIntervals,rsuManUID,rsuModel,rsuID,VPLRUID,VPLRModel,VPLRID,HDVUID,HDVModel,HDVID,controllerUID,controllerModel,controllerID,controllerSysVer,serverUID,serverModel,serverID,serverSysVer,serverDBVer,vehDetectorUID,vehDetectorModel,vehDetectorID,weatherDetectorUID,weatherDetectorModel,weatherDetectorID,classDetectorUID,classDetectorModel,classDetectorID,loadDetectionUID,loadDetectionModel,loadDetectionID,tempControllerUID,tempControllerModel,tempControllerID,powerControllerUID,powerControllerModel,powerControllerID,safeEquipUID,safeEquipModel,safeEquipID,lineType,operators,dataMergePoint,imei,ip,snmpVersion,snmpPort,community,securityName,securityLevel,authentication,authKey,encryption,secretKey,operation,COMPANYNAME,station,LANE,stationfx,LANEFX,note,PICNUM,NUM,SORT,LANECOUNT,gantrySign,reEtcGantryHex,agencyGantryIds,REGIONALISMCODE,COUNTRYNAME,REGIONNAME
10,G000561001000610010,0,1,35.202446,110.147064,903.408,2,2020/1/1,2025/10/27,6C753B,合阳匝道,1590,合阳匝道-澄城匝道,,G000561001000610,0xA2,万集WER09-01i-R,523B193600046426|523B193600048433|523B193600048007|523B193600048434,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193926|D63193929|D63193953,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113860|D75113876,0x04,研祥MEC-5071,Y6GGSJ14031560|E6GGSI21038695,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293894N-001|98RHP5293913N-001|98RHP5293878N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,12A,1,30011,2|1,G5 934 A,6D753C,,610524,合阳县,渭南市
11,G000561001000620010,0,1,35.202055,110.146561,903.4,2,2020/1/1,2025/10/27,6D753C,合阳匝道,1365,澄城匝道-合阳匝道,,G000561001000620,0xA2,万集WER09-01i-R,523B193600048276|523B193600048491|523B193600047671|523B193600047852,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193926|D63193929|D63193953,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113860|D75113876,0x04,研祥MEC-5071,E6GGSJ15042958|E6GGSJ05041151,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293894N-001|98RHP5293913N-001|98RHP5293878N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,12B,1,30012,2|1,G5 901 B,6C753B,,610524,合阳县,渭南市
12,G000561001000710010,0,1,34.932742,109.782796,951.106,2,2020/1/1,2025/10/27,6C753D,孙镇匝道,2105,澄城匝道-孙镇匝道,,G000561001000710,0xA2,万集WER09-01i,523B193600048425|523B193600048413|523B193600048538|523B193600045418,0X01,海康威视iDS-TCV300-A6ER/25CH,|D63193840D63193800|D63193925,0X01,海康威视DS-2DE7430IW-ACH ,D75113865|D75113873,0x04,研祥MEC-5071,E6GGSI2038725|E6GGSJ05041244,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293870N-001|98RHP5293914N-001|98RHP5293883N-001|98RHP5293908N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,14A,1,30013,2|1,G5 954 A,6D753E,,610526,蒲城县,渭南市
13,G000561001000720010,0,1,34.932547,109.782295,951.12,2,2020/1/1,2025/10/27,6D753E,孙镇匝道,3160,孙镇匝道-澄城匝道,,G000561001000720,0xA2,万集WER09-01i-R,523B193600048362|523B193600048361|523B193600048341|523B193600048042,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193802|D63193822|D63193930,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193677|D75113877,0x04,研祥MEC-5071,E6GGSJ05041129|E6GGSJ05041015,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293870N-001|98RHP5293914N-001|98RHP5293883N-001|98RHP5293908N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,14B,1,30014,2|1,G5 934 B,6C753D,,610526,蒲城县,渭南市
14,G000561001000810010,0,1,34.934948,109.740299,955.02,2,2020/1/1,2025/10/27,6C753F,孙镇匝道,1005,孙镇匝道-东杨互通,,G000561001000810,0xA2,万集WER09-01i-R,523B193600048016|523B193600048556|523B193600047850|523B193600048353,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193816|D63193939D63193810,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193697|D63193704,0x04,研祥MEC-5071,E6GGSI21038720|E6GGSJ05041298,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293870N-001|98RHP5293914N-001|98RHP5293883N-001|98RHP5293908N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,,,0,16A,1,30015,2|1,G5 963 A,6D7540,,610526,蒲城县,渭南市
15,G000561001000820010,0,1,34.934143,109.734639,955.07,2,2020/1/1,2025/10/27,6D7540,孙镇匝道,1315,东杨互通-孙镇匝道,,G000561001000820,0xA2,万集WER09-01i-R,523B193600048251|523B193600048168|523B193600048573|523B193600048502,0X01,海康威视iDS-TCV300-A6ER/25CH,D63193793|D6319983|D6319794,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193700|D6319699,0x04,研祥MEC-5071,E6GGSJ05041161|E6GGSI21038716,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293870N-001|98RHP5293914N-001|98RHP5293883N-001|98RHP5293908N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,16B,1,30016,2|1,G5 954 B,6C753F,,610526,蒲城县,渭南市
16,G000561001000910010,0,1,34.905668,109.61717,966.9,2,2020/1/1,2025/10/27,6C7541,蒲城匝道,2160,东杨互通-蒲城匝道,,G000561001000910,0xA2,万集WER09-01i-R,523B193600048030|523B193600048285|523B193600047896,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193723,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193735,0x04,研祥MEC-5071,Y6GGSJ14031594|E6GGSJ15042937,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293875N-001|98RHP5293881N-001|98RHP5293905N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,18A,1,30017,2|1,G5 968 A,6D7542,,610526,蒲城县,渭南市
17,G000561001000920010,0,1,34.905204,109.615842,966.95,2,2020/1/1,2025/10/27,6D7542,蒲城匝道,2100,蒲城匝道-东杨互通,,G000561001000920,0xA2,万集WER09-01i,523B193600046700|523B193600048476|523B193600047900,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193701,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193680,0x04,研祥MEC-5071,E6GGSJ15042982|E6GGSJ15042927,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293875N-001|98RHP5293881N-001|98RHP5293905N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,18B,1,30018,2|1,G5 963 B,6C7541,,610526,蒲城县,渭南市
18,G000561001001010010,0,1,34.868041,109.458515,982.53,2,2020/1/1,2025/10/27,6C7543,荆姚匝道,2810,蒲城匝道-荆姚匝道,,G000561001001010,0xA2,万集WER09-01i,523B193600047863|523B193600047998|523B193600048271,0X01,海康威视iDS-TCV900-A6ER/25CH,D6319724,0X01,海康威视iDS-TCV900-A6ER/25CH,D6319691,0x04,研祥MEC-5071,Y6GGSJ14031494|Y6GGSJ14031361,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP52939876N-002|98RHP5293916N-002|98RHP5293892N-001|98RHP5293908N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,20A,1,30019,2|1,G5 984 A,6D7544,,610526,蒲城县,渭南市
19,G000561001001020010,0,1,34.867062,109.457531,982.58,2,2020/1/1,2025/10/27,6D7544,荆姚匝道,2750,荆姚匝道-蒲城匝道,,G000561001001020,0xA2,万集WER09-01i,523B193600048117|523B193600046366|523B193600043328,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193732,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193679,0x04,研祥MEC-5071,Y6GGSJ14031507|Y6GGSJ14031573,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP52939876N-002|98RHP5293916N-002|98RHP5293892N-001|98RHP5293908N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,20B,1,30020,2|1,G5 968 B,6C7543,,610526,蒲城县,渭南市
20,G000561001001110010,0,1,34.850302,109.428094,985.93,2,2020/1/1,2025/10/27,6C7545,荆姚匝道,2460,荆姚匝道-富平匝道,,G000561001001110,0xA2,万集WER09-01i,523B193600048469|523B193600048469|523B193600047242|523B193600048012,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193728,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193693,0x04,研祥MEC-5071,E6GGSJ15042999|Y6GGSJ14031501,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP52939876N-002|98RHP5293916N-002|98RHP5293892N-001|98RHP5293908N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,22A,1,30021,2|1,G5 9 A,6D7546,,610526,蒲城县,渭南市
21,G000561001001120010,0,1,34.849327,109.427353,986,2,2020/1/1,2025/10/27,6D7546,荆姚匝道,2520,富平匝道-荆姚匝道,,G000561001001120,0xA2,万集WER09-01i-R,523B193600048447|523B193600048506|523B193600044508,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193687,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193702,0x04,研祥MEC-5071,Y6GGSJ14031538|E6GGS15042998,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP52939876N-002|98RHP5293916N-002|98RHP5293892N-001|98RHP5293908N-001,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,22B,1,30022,2|1,G5 984 B,6C7545,,610526,蒲城县,渭南市
22,G000561001001210010,0,1,34.710495,109.214702,1011.35,2,2020/1/1,2025/10/27,6C7547,富平匝道,2940,富平匝道-阎良匝道,,G000561001001210|G000561002000110,0xA2,万集WER09-01i-R,523B193600044346|523B193600048275|523B193600048408,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193675,0X01,海康威视iDS-TCV900-A6ER/25CH,D75113688,0x04,研祥MEC-5071,Y6GGSJ14031490|E6GGSJ13042771,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293904N-001|98RHP5293860N-002|98RHP5293910N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,24A,1,30023,2|1,G5 17 A,6D7548,,610528,富平县,渭南市
23,G000561001001220010,0,1,34.70974,109.214587,1011.4,2,2020/1/1,2025/10/27,6D7548,富平匝道,3000,阎良匝道-富平匝道,,G000561001001220|G000561002000120,0xA2,万集WER09-01i-R,523B193600048435|523B193600048323|523B193600044198,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193710,0X01,海康威视iDS-TCV900-A6ER/25CH,D63193730,0x04,研祥MEC-5071,Y6GGSJ14031572|Y6GGSJ14031591,CentOS7.6,0x01,HPE DE380+华为 fusioncube,98RHP5293904N-001|98RHP5293860N-002|98RHP5293910N-002,CentOS7.6/Windows2008R2,SQL2005,,,,,,,,,,,,,,,,0X03,华为ICC500,,,,,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,v1,161,,,,,,,,1,西禹,,,,,0,24B,1,30024,2|1,G5 9 B,6C7547,,610528,富平县,渭南市
24,G000561001001310010,0,2,35.593331,110.557916,840.69,2,2020/1/1,2025/10/27,6CF013,龙门工业园收费站,0,龙门工业园站-龙门工业园_001车道,,G000561001001310,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101101010010,6,,1,19,1|0,,6DF014,,610581,韩城市,渭南市
25,G000561001001310020,0,2,35.593331,110.557916,840.69,2,2020/1/1,2025/10/27,6CF013,龙门工业园收费站,0,龙门工业园站-龙门工业园_002车道,,G000561001001310,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101101010020,6,,2,19,1|0,,6DF014,,610581,韩城市,渭南市
26,G000561001001310030,0,2,35.593331,110.557916,840.69,2,2020/1/1,2025/10/27,6CF013,龙门工业园收费站,0,龙门工业园站-龙门工业园_003车道,,G000561001001310,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101101010030,6,,3,19,1|0,,6DF014,,610581,韩城市,渭南市
27,G000561001001320010,0,2,35.592678,110.55869,840.69,2,2020/1/1,2020/10/27,6DF014,龙门工业园收费站,0,龙门工业园-龙门工业园站_101车道,,G000561001001320,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101102010010,6,,1,20,1|0,,6CF013,,610581,韩城市,渭南市
28,G000561001001320020,0,2,35.592678,110.55869,840.69,2,2020/1/1,2025/10/27,6DF014,龙门工业园收费站,0,龙门工业园-龙门工业园站_102车道,,G000561001001320,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101102010020,6,,2,20,1|0,,6CF013,,610581,韩城市,渭南市
29,G000561001001320030,0,2,35.592678,110.55869,840.69,2,2020/1/1,2025/10/27,6DF014,龙门工业园收费站,0,龙门工业园-龙门工业园站_103车道,,G000561001001320,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101102010030,6,,3,20,1|0,,6CF013,,610581,韩城市,渭南市
30,G000561001001320040,0,2,35.592678,110.55869,840.69,2,2020/1/1,2025/10/27,6DF014,龙门工业园收费站,0,龙门工业园-龙门工业园站_104车道,,G000561001001320,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101102010040,6,,4,20,1|0,,6CF013,,610581,韩城市,渭南市
31,G000561001001320050,0,2,35.592678,110.55869,840.69,2,2020/1/1,2025/10/27,6DF014,龙门工业园收费站,0,龙门工业园-龙门工业园站_105车道,,G000561001001320,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,4|3,10.254.203.106|29.29.108.10,,0.0.0.0,,161,,,,,,,,1,西禹,,,G0005610010110,G00056100101102010050,6,,5,20,1|0,,6CF013,,610581,韩城市,渭南市
